MLSAreaMajor,Stories,ViewYN,NewConstructionYN,Levels,PoolPrivateYN,BuyerOfficeAOR,GarageSpaces,LotSizeAcres,LotSizeSquareFeet,LotSizeArea,BuyerOfficeName,BuyerAgentFirstName,BuyerAgentMlsId,StreetNumberNumeric,UnparsedAddress,City,YearBuilt,FireplaceYN,BuyerAgentLastName,LivingArea,Latitude,Longitude,BuyerAgentAOR,BathroomsTotalInteger,ClosePrice,CloseDate,PropertyType,MlsStatus,ParkingTotal,PropertySubType,CountyOrParish,BedroomsTotal,StateOrProvince,PurchaseContractDate,ContractStatusChangeDate,PostalCode
332 - Central Palm Springs,1.0,False,False,"ThreeOrMore,MultiSplit",False,PalmSprings,1.0,0.0,0.0,0.0,Bennion Deville Homes,Barbara,CLW-53714,288.0,288 Calle La Soledad,Palm Springs,2006.0,False,Saint Clair,2090.0,33.819656,-116.549208,PalmSprings,3.0,1310000.0,2025-05-30,Residential,Closed,0.0,Condominium,Riverside,2.0,CA,2025-05-30,2025-05-30,92262
324 - East Palm Desert,2.0,False,False,Two,False,PalmSprings,2.0,0.0363,1581.0,1581.0,Equity Union,Jaclyn,PS51614,621.0,621 Calle Vibrante,Palm Desert,2014.0,False,Mahar,1873.0,33.773119,-116.343788,PalmSprings,3.0,3200.0,2025-05-29,ResidentialLease,Closed,2.0,Condominium,Riverside,4.0,CA,,2025-05-29,92211
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,1.0,0.1326,5775.0,5775.0,"eXp Realty of Northern California, Inc.",Navneet,ML5103855,10672.0,10672 Johansen Drive,Cupertino,1955.0,False,Bal,1134.0,37.31309292,-122.0064144,Mlslistings,1.0,2250000.0,2025-05-27,Residential,Closed,1.0,SingleFamilyResidence,Santa Clara,3.0,CA,2025-05-30,2025-05-27,95014
85 - Yorba Linda,1.0,False,False,One,False,OrangeCounty,2.0,0.1722,7500.0,7500.0,Grand Avenue Realty & Lending,Adam,SPRESADA,5305.0,5305 Via Cartagena,Yorba Linda,1988.0,False,Preston,1672.0,33.884526,-117.778002,OrangeCounty,2.0,1425000.0,2025-05-30,Residential,Closed,2.0,SingleFamilyResidence,Orange,3.0,CA,2025-03-10,2025-05-30,92886
92026 - Escondido,2.0,False,False,Two,False,SanDiego,2.0,0.1045,4552.0,4552.0,Advent Real Estate,Dave,SAND-657092,2422.0,2422 Lake Forest St,Escondido,1986.0,False,Nash,1286.0,33.16970292,-117.08158035,SanDiego,3.0,660000.0,2025-05-30,Residential,Closed,4.0,SingleFamilyResidence,San Diego,3.0,CA,2025-05-30,2025-05-30,92026
Unknown,2.0,False,False,Two,False,VenturaCoastal,3.0,2.5,108900.0,2.5,RE/MAX Gold Coast REALTORS,Stacey,v211507019,3789.0,3789 Groves Place,Somis,2004.0,False,Valdez,4601.0,34.259675,-119.016367,VenturaCoastal,4.0,2600000.0,2025-05-30,Residential,Closed,3.0,SingleFamilyResidence,Ventura,4.0,CA,2025-05-30,2025-05-30,93066
C09 - Beverlywood Vicinity,1.0,False,False,One,False,BeverlyHillsGreaterLa,2.0,0.1778,7747.0,7747.0,Keller Williams Beverly Hills,Zack,CLW-X61922,2508.0,2508 Castle Heights Avenue,Los Angeles,1949.0,False,Grakal,2079.0,34.040562,-118.397163,BeverlyHillsGreaterLa,3.0,1900000.0,2025-05-30,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,4.0,CA,2025-05-30,2025-05-30,90034
189 - Barton Hill,1.0,False,False,ThreeOrMore,False,SouthBay,2.0,0.0309,1346.0,1346.0,Keller Williams Realty,Jane,SBCASTJAN,275.0,275 Dockside Lane,San Pedro,2020.0,False,Castillo,2080.0,33.736568,-118.28267,SouthBay,4.0,4500.0,2025-05-30,ResidentialLease,Closed,2.0,SingleFamilyResidence,Los Angeles,4.0,CA,2025-05-30,2025-05-30,90731
699 - Not Defined,2.0,False,False,Two,False,TriCounties,1.0,0.0298,1300.0,1300.0,ReMax 2000 Realty,Zhenwei,trfuzhenw,11260.0,11260 Terra Vista,Rancho Cucamonga,1989.0,False,Fu,1257.0,34.119701,-117.559031,TriCounties,3.0,2700.0,2025-05-30,ResidentialLease,Closed,1.0,Condominium,San Bernardino,2.0,CA,2025-05-30,2025-05-30,91730
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,1.0,0.1102,4800.0,4800.0,Sotheby's International Realty,Ryan,ML5066984,0.0,0 Dolores 4 SE of 13th Street,Carmel,1965.0,False,Melcher,1700.0,36.4656419,-121.8334868,Mlslistings,3.0,2700000.0,2025-05-30,Residential,Closed,1.0,SingleFamilyResidence,Monterey,3.0,CA,2025-05-30,2025-05-30,93923
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,1.0,0.17,7405.0,7207.0,Beale Properties,Anthony,ML147045,3.0,3 Commodore Drive B452,Emeryville,1973.0,False,Ciardella,707.0,37.83781642,-122.30550722,Mlslistings,1.0,2400.0,2025-05-30,ResidentialLease,Closed,1.0,Apartment,Alameda,1.0,CA,2025-05-30,2025-05-30,94608
RA - Cerritos North of 91 Frwy,1.0,False,False,One,False,PacificWest,2.0,0.1229,5353.0,5353.0,Re/Max Top Producers,Sophie,PWOKSOPH,13741.0,13741 Oak Crest Drive,Cerritos,1971.0,False,Cheang,1111.0,33.878294,-118.038512,OrangeCounty,2.0,875000.0,2025-05-30,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,2.0,CA,2025-05-30,2025-05-30,90703
92154 - Otay Mesa,1.0,False,False,One,False,SanDiego,2.0,0.17,7405.0,7207.0,New Metro Realty,Joe,SAND-612241,3310.0,3310 Biscay Dr,San Diego,1977.0,False,Ruiz,1338.0,32.57014385,-117.06332214,SanDiego,2.0,800000.0,2025-05-30,Residential,Closed,4.0,SingleFamilyResidence,San Diego,4.0,CA,2025-05-30,2025-05-30,92154
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,3.0,0.5857,25511.0,25511.0,Compass,Emma,ML306699,2845.0,2845 Churchill Drive,Hillsborough,1981.0,False,Elfving,4680.0,37.56857102,-122.38525763,Mlslistings,4.0,3500000.0,2025-05-22,Residential,Closed,3.0,SingleFamilyResidence,San Mateo,4.0,CA,2025-05-30,2025-05-22,94010
688 - Rancho Cucamonga,2.0,False,False,Two,False,TriCounties,2.0,0.1876,8173.0,8173.0,ReMax 2000 Realty,Zhenwei,TRFUZHENW,13106.0,13106 baxter springs,Rancho Cucamonga,2016.0,False,Fu,2725.0,34.099981,-117.519072,TriCounties,3.0,4200.0,2025-05-30,ResidentialLease,Closed,2.0,SingleFamilyResidence,San Bernardino,5.0,CA,2025-05-22,2025-05-30,91739
Unknown,1.0,False,False,One,False,ContraCosta,0.0,0.182,7930.0,7930.0,Nor Cal Real Estate Services,Jeff,CCBE-159509579,3017.0,Unknown,Lafayette,1950.0,False,Goyert,1278.0,37.89305413,-122.08632707,ContraCosta,2.0,1344000.0,2025-05-23,Residential,Closed,0.0,SingleFamilyResidence,Contra Costa,4.0,CA,2025-04-26,2025-05-23,94549
313 - La Quinta South of HWY 111,1.0,False,False,One,False,CaliforniaDesert,3.0,0.35,15246.0,15246.0,Coldwell Banker Realty,Kimberly,CDAR-D81626,49075.0,49075 Rancho Pointe,La Quinta,2002.0,False,Oleson,4004.0,33.693181,-116.276179,CaliforniaDesert,6.0,3450000.0,2025-05-30,Residential,Closed,3.0,SingleFamilyResidence,Riverside,5.0,CA,2025-05-30,2025-05-30,92253
92014 - Del Mar,1.0,False,False,One,False,SanDiego,1.0,0.2961,12900.0,12900.0,Pacific Sotheby's Int'l Realty,Rande,SAND-650647,1904.0,1904 Balboa Ave,Del Mar,1950.0,False,Turner,1900.0,32.96570354,-117.26352616,SanDiego,4.0,5850000.0,2025-05-29,Residential,Closed,3.0,SingleFamilyResidence,San Diego,3.0,CA,2025-05-29,2025-05-29,92014
Unknown,1.0,False,False,One,False,BayEast,1.0,0.1148,5000.0,5000.0,Fine Home Gallery Real Esta,Jermaine,CCBE-204011307,408.0,408 W 3Rd St,Antioch,1941.0,False,Sheppard,891.0,38.01640213,-121.81163672,BayEast,1.0,425000.0,2025-05-30,Residential,Closed,1.0,SingleFamilyResidence,Contra Costa,2.0,CA,2025-05-29,2025-05-30,94509
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.1166,5079.0,5079.0,Ocean Element Real Estate,Rebecca,ML5102713,810.0,810 Buena Vista Street,Moss Beach,1985.0,False,Jackson,2110.0,37.53058019,-122.51091829,Mlslistings,3.0,1600000.0,2025-05-29,Residential,Closed,2.0,SingleFamilyResidence,San Mateo,3.0,CA,2025-05-29,2025-05-29,94038
Unknown,1.0,False,False,One,False,BayEast,1.0,0.1351,5886.0,5886.0,RE/MAX Accord,Weichou,CCBE-191019821,1185.0,1185 Via Manzanas,San Lorenzo,1950.0,False,Lin,1050.0,37.67285251,-122.13440368,BayEast,1.0,728000.0,2025-05-29,Residential,Closed,2.0,SingleFamilyResidence,Alameda,3.0,CA,2025-05-29,2025-05-29,94580
92118 - Coronado,1.0,False,False,One,False,SanDiego,2.0,0.3986,17363.0,17363.0,"Douglas Elliman of California, Inc.",Whitney,SAND-663277,1657.0,1657 Glorietta Blvd,Coronado,1975.0,False,Benzian,1393.0,32.68117733,-117.17605872,SanDiego,2.0,2200000.0,2025-05-27,Residential,Closed,2.0,Condominium,San Diego,2.0,CA,2025-04-30,2025-05-27,92118
685 - Montclair,1.0,False,False,One,False,CitrusValley,2.0,0.1584,6902.0,6902.0,KALEO REAL ESTATE COMPANY,Wendy,CV37397,5630.0,5630 Kingsley Street,Montclair,1953.0,False,Ginter,1273.0,34.066983,-117.682399,OrangeCounty,2.0,575000.0,2025-05-30,Residential,Closed,2.0,SingleFamilyResidence,San Bernardino,3.0,CA,2025-04-18,2025-05-30,91763
Unknown,2.0,False,False,Two,False,BayEast,2.0,0.1262,5497.0,5497.0,Legacy Real Estate & Assoc.,Grace,CCBE-206538055,3514.0,3514 Saddlebrook Pl,Dublin,2000.0,False,Hu,2366.0,37.7176112,-121.86512624,ContraCosta,3.0,2250000.0,2025-05-29,Residential,Closed,2.0,SingleFamilyResidence,Alameda,4.0,CA,2025-05-29,2025-05-29,94568
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.17,7405.0,7207.0,Realty World-Todd Su & Company,Todd,ML147677,440.0,440 Giannotta Way,San Jose,1977.0,False,Su,1440.0,37.3720225,-121.84712079999998,Mlslistings,2.0,300000.0,2025-05-30,ManufacturedInPark,Closed,2.0,Unknown,Santa Clara,3.0,CA,2025-05-29,2025-05-30,95133
322 - North Palm Desert,1.0,False,False,One,False,Mrmls,2.0,0.041,1787.0,1787.0,None MRML,NONE,NONE,4305.0,4305 Minori Court 2,Palm Desert,2022.0,False,NONE,1553.0,33.755708,-116.381761,CaliforniaDesert,2.0,520000.0,2025-05-29,Residential,Closed,2.0,Condominium,Riverside,2.0,CA,2025-05-29,2025-05-29,92260
605 - Arcadia,1.0,False,False,One,False,Arcadia,2.0,0.4920000000000001,21430.0,21430.0,Moon Realty,Alvin,AR45000,128.0,128 W Las Flores Avenue,Arcadia,1949.0,False,Yang,2000.0,34.115673,-118.035862,Arcadia,2.0,2250000.0,2025-05-29,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,4.0,CA,2025-04-25,2025-05-29,91007
C42 - Downtown L.A.,2.0,False,False,Two,False,BeverlyHillsGreaterLa,2.0,0.1437,6261.0,6261.0,Fact Realty,Peyman,CLW-C104208,173.0,173 E 36th Street,Los Angeles,2025.0,False,Zargari,4169.0,34.016198,-118.271035,BeverlyHillsGreaterLa,10.0,1825000.0,2025-05-30,ResidentialIncome,Closed,5.0,Unknown,Los Angeles,11.0,CA,2025-05-29,2025-05-30,90011
C02 - Beverly Hills Post Office,1.0,False,False,One,False,BeverlyHillsGreaterLa,2.0,0.735,32017.0,32017.0,KHORR Realty,Pila,CLW-X54266,13438.0,13438 Java Drive,Beverly Hills,1950.0,False,Jessie,2247.0,34.129940999999995,-118.4261,BeverlyHillsGreaterLa,2.0,2175000.0,2025-05-05,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-03-19,2025-05-05,90210
92111 - Linda Vista,1.0,False,False,One,False,Mrmls,0.0,0.7731,33676.0,33676.0,NONMEMBER MRML,General,NONMEMBER,6679.0,6679 Unit 24 Linda Vista Road 24,Linda Vista,2024.0,False,NONMEMBER,850.0,32.774943,-117.173622,PacificWest,1.0,2450.0,2025-05-29,ResidentialLease,Closed,1.0,Apartment,San Diego,1.0,CA,2025-05-29,2025-05-29,92111
N6 - Newport Heights,2.0,False,False,Two,False,OrangeCounty,3.0,0.2298,10010.0,10010.0,Coldwell Banker Realty,Garrett,SWESTGAR,2401.0,2401 Margaret Drive,Newport Beach,2018.0,False,Weston,4433.0,33.624934,-117.915135,OrangeCounty,5.0,7150000.0,2025-05-29,Residential,Closed,3.0,SingleFamilyResidence,Orange,5.0,CA,2025-05-29,2025-05-29,92663
Unknown,1.0,False,False,One,False,BayEast,1.0,0.1217,5300.0,5300.0,Re/Max Accord,Leo,CCBE-206537721,16834.0,16834 Bar Avenue,San Lorenzo,1947.0,False,Zhang,984.0,37.68742148,-122.11483817,BayEast,1.0,530000.0,2025-05-29,Residential,Closed,1.0,SingleFamilyResidence,Alameda,2.0,CA,2025-05-29,2025-05-29,94580
648 - Pasadena (SE),2.0,False,False,Two,False,Malibu,2.0,0.5556,24204.0,24204.0,MAISONRE,Shannon,CLW-C135928,1538.0,1538 E California Boulevard,Pasadena,1984.0,False,Scavo,3993.0,34.135406,-118.118478,BeverlyHillsGreaterLa,4.0,5975000.0,2025-05-29,Residential,Closed,0.0,SingleFamilyResidence,Los Angeles,4.0,CA,2025-05-29,2025-05-29,91106
92126 - Mira Mesa,1.0,False,False,One,False,SanDiego,1.0,0.1331,5800.0,5800.0,A Team Real Estate,Vern,SAND-628226,10965.0,10965 Canis Ln,San Diego,1973.0,False,Lovett,1006.0,32.91956086,-117.13463787,SanDiego,1.0,700000.0,2025-05-28,Residential,Closed,3.0,SingleFamilyResidence,San Diego,3.0,CA,2025-05-28,2025-05-28,92126
NV - East Bluff - Harbor View,2.0,False,False,Two,False,Newport,2.0,0.0339,1475.0,1475.0,Surterre Properties Inc.,Spyro,U11616,503.0,503 Avenida Campana,Newport Beach,1964.0,False,Kemble,1871.0,33.634378000000005,-117.882204,Newport,3.0,7800.0,2025-05-30,ResidentialLease,Closed,2.0,SingleFamilyResidence,Orange,3.0,CA,2025-05-30,2025-05-30,92660
VC11 - Ojai,1.0,False,False,One,False,VenturaCoastal,2.0,2.12,92347.2,2.12,Keller Williams West Ventura County,Brittney,v183011400,11010.0,11010 Rodeo Drive,Oak View,1984.0,False,Ferro,3246.0,34.409427,-119.287794,VenturaCoastal,4.0,1950000.0,2025-05-29,Residential,Closed,2.0,SingleFamilyResidence,Ventura,3.0,CA,2025-05-29,2025-05-29,93022
C09 - Beverlywood Vicinity,1.0,False,False,One,False,BeverlyHillsGreaterLa,2.0,0.1545,6730.0,6730.0,Compass,Brian,CLW-C125087,2807.0,2807 Cardiff Avenue,Los Angeles,1948.0,False,Schames,1829.0,34.037751,-118.395258,BeverlyHillsGreaterLa,2.0,1900000.0,2025-05-28,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-05-24,2025-05-28,90034
UP - University Park,1.0,False,False,One,False,OrangeCounty,2.0,0.1377,6000.0,6000.0,Wetrust Realty,Grant,ocguosliu,2.0,2 Cherry S,Irvine,1974.0,False,Liu,1532.0,33.663188,-117.800412,OrangeCounty,2.0,4600.0,2025-05-28,ResidentialLease,Closed,2.0,SingleFamilyResidence,Orange,3.0,CA,2025-05-28,2025-05-28,92612
92127 - Rancho Bernardo,2.0,False,False,Two,False,SouthBay,4.0,0.17,7405.0,7207.0,SYL Realty,Kevin,sbkretkev,8122.0,8122 Twilight Point Way,San Diego,2014.0,False,Kretzmer,5288.0,33.02592879,-117.15137191,SanDiego,6.0,4500000.0,2025-05-28,Residential,Closed,6.0,SingleFamilyResidence,San Diego,5.0,CA,2025-05-28,2025-05-28,92127
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,1.0,0.074,3223.0,3223.0,Compass,Sam,ML5097661,50.0,50 Victorian Court,Santa Cruz,2004.0,False,Bird-Robinson,1320.0,36.98102818,-122.01957225,Mlslistings,3.0,1150000.0,2025-05-27,Residential,Closed,1.0,SingleFamilyResidence,Santa Cruz,3.0,CA,2025-05-28,2025-05-27,95060
C34 - Los Angeles Southwest,1.0,False,False,One,False,OutOfAreaBoard,2.0,0.1318,5743.0,5743.0,Compass,Erin,CLW-C133088,1569.0,1569 W 47th Street,Los Angeles,1910.0,False,Keegan,1330.0,34.001257,-118.305795,BeverlyHillsGreaterLa,1.0,1025000.0,2025-05-28,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-04-18,2025-05-28,90062
92117 - Clairemont Mesa,2.0,False,False,Two,False,SanDiego,2.0,0.2824,12300.0,12300.0,Coldwell Banker Realty,Brandon,SAND-653804,4793.0,4793 Leathers St,San Diego,1975.0,False,Weber,2927.0,32.83348749,-117.22748797,SanDiego,3.0,1545000.0,2025-05-28,Residential,Closed,8.0,SingleFamilyResidence,San Diego,5.0,CA,2025-05-06,2025-05-28,92117
Unknown,2.0,False,False,Two,False,BayEast,2.0,0.0731,3184.0,3184.0,Compass,Nicole,BMLS-206541486,16.0,16 Waterline,Richmond,2018.0,False,Schuler,2749.0,37.90895703,-122.37486246,Oakland,3.0,1850000.0,2025-05-28,Residential,Closed,2.0,Condominium,Contra Costa,3.0,CA,2025-05-28,2025-05-28,94801
92115 - San Diego,1.0,False,False,One,False,SanDiego,0.0,0.1125,4900.0,4900.0,"Austin Ball, Broker",Austin,SAND-703774,5170.0,5170 63rd st,San Diego,1951.0,False,Ball,1239.0,32.771683,-117.062975,NorthSanDiegoCounty,2.0,1200000.0,2025-05-28,Residential,Closed,0.0,SingleFamilyResidence,San Diego,4.0,CA,2025-03-07,2025-05-28,92115
92115 - San Diego,1.0,False,False,One,False,SanDiego,1.0,0.404,17600.0,17600.0,"Austin Ball, Broker",Austin,SAND-703774,5173.0,5173 Ewing st,San Diego,1980.0,False,Ball,1246.0,32.77272,-117.061164,NorthSanDiegoCounty,1.0,1120000.0,2025-05-28,Residential,Closed,1.0,SingleFamilyResidence,San Diego,2.0,CA,2025-03-07,2025-05-28,92115
264 - Fontana,1.0,False,False,One,False,CitrusValley,2.0,0.1136,4949.0,4949.0,HAUS OF REAL ESTATE,Viola,CV48912,16717.0,16717 Yarrow Ln,Fontana,2024.0,False,Shytermeja,1905.0,34.164303000000004,-117.438862,CitrusValley,2.0,735000.0,2025-05-27,Residential,Closed,2.0,SingleFamilyResidence,San Bernardino,3.0,CA,2025-05-02,2025-05-27,92336
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.1309,5700.0,5700.0,Sotheby's International Realty,Patricia J,ML474849,0.0,0 Monte Verde 2 SE of 9th,Carmel,2007.0,False,Ross,2018.0,36.56045599999999,-121.9244628,Mlslistings,3.0,5050000.0,2025-05-27,Residential,Closed,3.0,SingleFamilyResidence,Monterey,3.0,CA,2025-05-28,2025-05-27,93921
Unknown,1.0,False,False,One,False,BayEast,2.0,0.1343,5850.0,5850.0,Ramsell Real Estate Inc,Mei,CCBE-206542268,2611.0,2611 LINCOLN AVENUE,Alameda,1923.0,False,Tang,1198.0,37.76472105,-122.23652653,BayEast,1.0,1400000.0,2025-05-27,Residential,Closed,2.0,SingleFamilyResidence,Alameda,2.0,CA,2025-04-20,2025-05-27,94501
C28 - Culver City,1.0,False,False,One,False,BeverlyHillsGreaterLa,2.0,0.1326,5774.0,5774.0,Compass,Augustine,CLW-C137557,4173.0,4173 Motor Avenue,Culver City,1938.0,False,Um,1706.0,34.014817,-118.39877,BeverlyHillsGreaterLa,2.0,2300000.0,2025-05-28,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-05-25,2025-05-28,90232
5 - Wrigley Area,1.0,False,False,One,False,Downey,1.0,0.0456,1987.0,1987.0,Realty One Group United,Claudia,YDELECLA,2145.0,2145 Pine Avenue,Long Beach,1930.0,False,de Leon-Camarena,1068.0,33.796111,-118.192673,OrangeCounty,1.0,635000.0,2025-05-28,Residential,Closed,1.0,SingleFamilyResidence,Los Angeles,2.0,CA,2025-05-28,2025-05-28,90806
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.454,19776.0,19776.0,"Miritz & Bailey Real Estate, Inc",Caitlin,ML5093279,25.0,25 Devon Lane,Watsonville,1953.0,False,Phillips,1358.0,36.95338469,-121.76672691,Mlslistings,1.0,845000.0,2025-05-15,Residential,Closed,2.0,SingleFamilyResidence,Santa Cruz,2.0,CA,2025-05-28,2025-05-15,95076
321 - Rancho Mirage,1.0,False,False,One,False,PalmSprings,2.0,0.17,7405.0,7405.0,Bennion Deville Homes,William,PS51321,177.0,177 Desert Lakes Drive,Rancho Mirage,1985.0,False,Landesman,2417.0,33.756632,-116.397103,CaliforniaDesert,4.0,800000.0,2025-05-28,Residential,Closed,4.0,Condominium,Riverside,3.0,CA,2025-05-28,2025-05-28,92270
686 - Ontario,1.0,False,False,One,False,RanchoSoutheast,0.0,0.1527,6650.0,6650.0,Manna Realty,Bing,Rhadlbin,1139.0,1139 E Elma Street,Ontario,2004.0,False,Hadley,900.0,34.066426,-117.630428,RanchoSoutheast,1.0,2200.0,2025-05-31,ResidentialLease,Closed,0.0,SingleFamilyResidence,San Bernardino,2.0,CA,2025-05-31,2025-05-31,91764
AV - Aliso Viejo,2.0,False,False,Two,False,OrangeCounty,2.0,0.17,7405.0,7207.0,RE/MAX Select One,Matthew,SBRABMAT,23.0,23 Sandcastle,Aliso Viejo,1994.0,False,Brabeck,1567.0,33.564571,-117.722429,OrangeCounty,3.0,4100.0,2025-05-28,ResidentialLease,Closed,2.0,Condominium,Orange,3.0,CA,2025-05-28,2025-05-28,92656
699 - Not Defined,1.0,False,False,One,False,SouthwestRiversideCounty,2.0,0.1371,5970.0,5970.0,Abundance Real Estate,Anthony,SWASNEANT,2017.0,2017 W Cameron Street,Long Beach,1965.0,False,Anselmo,2038.0,33.823709,-118.219292,SouthwestRiversideCounty,3.0,800000.0,2025-05-28,Residential,Closed,2.0,Duplex,Los Angeles,4.0,CA,2025-05-28,2025-05-28,90810
STUD - Studio City,1.0,False,False,One,False,OutOfAreaBoard,2.0,0.1103,4804.0,4804.0,Compass,Craig,CLW-X67239,4016.0,4016 Riverton Avenue,Studio City,1928.0,False,Strong,1381.0,34.142753000000006,-118.365524,BeverlyHillsGreaterLa,2.0,1245000.0,2025-05-30,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-05-27,2025-05-30,91604
92122 - University City,1.0,False,False,One,False,SanDiego,1.0,0.17,7405.0,7207.0,A Team Real Estate,Xiaohong,SAND-655863,8889.0,8889 Caminito Plaza Centro 7213,San Diego,2006.0,False,Song,600.0,32.869167600000004,-117.22583717,SanDiego,1.0,2300.0,2025-05-31,ResidentialLease,Closed,1.0,SingleFamilyResidence,San Diego,1.0,CA,2025-05-31,2025-05-31,92122
