BuyerAgentAOR,ViewYN,PoolPrivateYN,CloseDate,ClosePrice,Latitude,Longitude,UnparsedAddress,PropertyType,LivingArea,BuyerOfficeName,BuyerAgentMlsId,BuyerAgentFirstName,BuyerAgentLastName,MLSAreaMajor,CountyOrParish,MlsStatus,ParkingTotal,PropertySubType,LotSizeAcres,BuyerOfficeAOR,YearBuilt,StreetNumberNumeric,BathroomsTotalInteger,City,BedroomsTotal,ContractStatusChangeDate,PurchaseContractDate,StateOrProvince,FireplaceYN,Stories,Levels,LotSizeArea,NewConstructionYN,GarageSpaces,PostalCode,LotSizeSquareFeet
PacificWest,True,False,2025-03-31,3463667.0,33.696668,-117.627204,28893 Auburn Hills,Residential,4701.0,None MRML,none,NONE,NONE,699 - Not Defined,Orange,Closed,3.0,SingleFamilyResidence,0.456,Mrmls,2024.0,28893.0,5.0,Silverado,4.0,2025-03-31,2025-03-31,CA,True,1.0,One,19863.0,True,3.0,92676,19863.0
TheInlandGateway,False,False,2025-03-05,200000.0,33.918496999999995,-116.905447,776 Weather way,Residential,996.0,"PONCE & PONCE REALTY, INC",EVNAMBVAN,Vanessa,Linares,263 - Banning/Beaumont/Cherry Valley,Riverside,Closed,2.0,SingleFamilyResidence,0.1,TheInlandGateway,2003.0,776.0,2.0,Banning,2.0,2025-03-05,2025-02-10,CA,False,1.0,One,4356.0,False,2.0,92220,4356.0
OrangeCounty,True,False,2025-03-28,377000.0,33.580099,-116.743449,37340 Woodview Road,Residential,1920.0,"LPT Realty, Inc",SWADAMKAL,Kaleb,Adams,699 - Not Defined,Riverside,Closed,1.0,SingleFamilyResidence,5.03,SouthwestRiversideCounty,1972.0,37340.0,2.0,Anza,2.0,2025-03-28,2025-01-20,CA,False,2.0,Two,219107.0,False,1.0,92539,219107.0
OrangeCounty,True,False,2025-03-31,1130000.0,33.4129,-117.592464,202 Avenida Adobe,Residential,1468.0,"Luxre Realty, Inc.",OCCUMIBRA,Brandi,Cumin,SE - San Clemente Southeast,Orange,Closed,2.0,SingleFamilyResidence,0.0407,OrangeCounty,1973.0,202.0,3.0,San Clemente,3.0,2025-03-31,2025-03-16,CA,False,2.0,Two,1771.0,False,2.0,92672,1771.0
PacificSouthwest,True,False,2025-03-28,700000.0,32.828567,-116.755988,2727 Eltinge,Residential,1358.0,Mission Realty Group,806828,Stephani,Toups,91901 - Alpine,San Diego,Closed,12.0,SingleFamilyResidence,0.76,PacificSouthwest,2000.0,2727.0,2.0,Alpine,2.0,2025-03-28,2025-02-26,CA,True,1.0,One,33105.0,False,2.0,91901,33105.0
TheInlandGateway,True,False,2025-03-28,570000.0,34.055569,-117.182538,1563 Gary Lane,Residential,1762.0,"PATRICIA HICKS, REALTOR",eedwamar,MARK,EDWARDS,268 - Redlands,San Bernardino,Closed,3.0,SingleFamilyResidence,0.2296,TheInlandGateway,1981.0,1563.0,2.0,Redlands,3.0,2025-03-28,2025-03-18,CA,True,1.0,One,10000.0,False,3.0,92374,10000.0
BeverlyHillsGreaterLa,False,False,2025-03-30,530000.0,33.985232,-118.31934,6006 2nd Avenue,Residential,902.0,Keller Williams Beverly Hills,CLW-C130216,Barbara,Isabel,PHHT - Park Hills Heights,Los Angeles,Closed,1.0,SingleFamilyResidence,0.1102,BeverlyHillsGreaterLa,1923.0,6006.0,1.0,Los Angeles,2.0,2025-03-30,2025-03-30,CA,False,1.0,One,4801.0,False,2.0,90043,4801.0
NorthSanLuisObispo,True,False,2025-03-29,710000.0,35.35519,-120.491586,4550 Las Pilitas Road,Residential,1404.0,Keller Williams Realty Central Coast,SC02105497,Christina,Buchanan,SMRG - Santa Margarita,San Luis Obispo,Closed,0.0,SingleFamilyResidence,19.0,SanLuisObispoCoastal,2001.0,4550.0,2.0,Santa Margarita,3.0,2025-03-29,2025-02-28,CA,False,1.0,One,827640.0,False,0.0,93453,827640.0
Mlslistings,False,False,2025-03-29,1660000.0,37.57689068,-122.05128035,33731 Shylock Drive,Residential,1241.0,Unknown,ML804721,Nida,Adil,699 - Not Defined,Alameda,Closed,2.0,SingleFamilyResidence,0.1076,Unknown,1981.0,33731.0,2.0,Fremont,3.0,2025-03-29,2025-03-29,CA,True,1.0,Unknown,4685.0,False,2.0,94555,4685.0
BayEast,False,False,2025-03-29,1550000.0,37.79061722,-121.97777157,31 Junewood Ct,Residential,2389.0,Compass,CCBE-MLL813190,Lesley,Ramos,Unknown,Contra Costa,Closed,3.0,SingleFamilyResidence,0.2152,Mlslistings,1972.0,31.0,3.0,Danville,4.0,2025-03-29,2025-03-29,CA,True,1.0,Unknown,9375.0,False,3.0,94526,9375.0
OrangeCounty,True,False,2025-03-28,1950000.0,33.64172,-117.881425,300 Vista Madera,Residential,2427.0,Harcourts Blue Water,SCLARKAT,Kathy,Clark,NV - East Bluff - Harbor View,Orange,Closed,2.0,SingleFamilyResidence,0.0996,OrangeCounty,1971.0,300.0,3.0,Newport Beach,3.0,2025-03-28,2025-02-20,CA,True,1.0,ThreeOrMore,4340.0,False,2.0,92660,4340.0
TheInlandGateway,False,False,2025-03-28,465000.0,33.879705,-117.590664,1350 Pleasant View Avenue,Residential,1054.0,"Top Producers Realty, Ryjen Group",IGPOWEJIM,James,Powell,248 - Corona,Riverside,Closed,5.0,SingleFamilyResidence,0.15,TheInlandGateway,1923.0,1350.0,1.0,Corona,3.0,2025-03-28,2025-03-12,CA,False,1.0,One,6534.0,False,2.0,92882,6534.0
Glendale,False,False,2025-03-28,1200000.0,34.163213,-118.43893,14032 Hartsook Street,Residential,1695.0,The Agency,CLW-C141107,Tatiana,Leonov,SO - Sherman Oaks,Los Angeles,Closed,1.0,SingleFamilyResidence,0.1599,OutOfAreaBoard,1953.0,14032.0,2.0,Sherman Oaks,3.0,2025-03-28,2025-03-01,CA,False,1.0,One,6966.0,False,1.0,91423,6966.0
Glendale,True,False,2025-03-28,1470000.0,34.227563,-118.361955,8728 Wheatland Avenue,Residential,2000.0,Real Brokerage Technologies,BB41579,Valene,Sarkissian,SUNV - Sun Valley,Los Angeles,Closed,2.0,SingleFamilyResidence,0.1742,Burbank,1969.0,8728.0,3.0,Sun Valley,4.0,2025-03-28,2025-03-01,CA,True,2.0,Two,7588.0,False,2.0,91352,7588.0
Glendale,False,False,2025-03-27,1632000.0,34.205822999999995,-118.336132,2738 N Brighton Street,Residential,1697.0,Pinnacle Estate Properties,F207018966,Anna,Elikuchukyan,610 - Burbank,Los Angeles,Closed,2.0,SingleFamilyResidence,0.1409,Southland,1950.0,2738.0,2.0,Burbank,3.0,2025-03-27,2025-03-02,CA,True,1.0,One,6139.0,False,2.0,91504,6139.0
Mlslistings,True,False,2025-03-28,1105000.0,37.39055395,-121.82563603,4155 Holly Drive,Residential,1772.0,Compass,ML5099222,Patrice,Carper,699 - Not Defined,Santa Clara,Closed,2.0,SingleFamilyResidence,0.1837,Mlslistings,1948.0,4155.0,2.0,San Jose,3.0,2025-03-28,2025-03-28,CA,True,1.0,Unknown,8000.0,False,2.0,95127,8000.0
Southland,True,False,2025-03-28,810000.0,34.10436,-118.378095,8560 Walnut Drive,Residential,2500.0,Mills Realty of California,F207013035,Simon,Mills,C03 - Sunset Strip - Hollywood Hills West,Los Angeles,Closed,0.0,SingleFamilyResidence,0.0803,Southland,1941.0,8560.0,2.0,Los Angeles,3.0,2025-03-28,2025-03-27,CA,True,2.0,Two,3500.0,False,0.0,90046,3500.0
Mlslistings,True,False,2025-03-28,4600000.0,37.56939607,-122.34550642,618 Dorchester Road,Residential,3250.0,Gilmartin Group,ML494044,Kathryn,Gerhardt,699 - Not Defined,San Mateo,Closed,6.0,SingleFamilyResidence,0.3409,Mlslistings,1926.0,618.0,3.0,San Mateo,4.0,2025-03-28,2025-03-28,CA,True,1.0,Unknown,14850.0,False,2.0,94402,14850.0
PalmSprings,True,True,2025-03-28,3150000.0,33.705672,-116.342756,47120 Crystal Loop,Residential,2870.0,Bennion Deville Homes,CDAR-D71351,Darrel,Hume,325 - Indian Wells,Riverside,Closed,2.0,SingleFamilyResidence,0.15,CaliforniaDesert,1974.0,47120.0,4.0,Indian Wells,3.0,2025-03-28,2025-03-28,CA,True,1.0,One,6534.0,False,2.0,92210,6534.0
Mlslistings,False,False,2025-03-28,4800000.0,37.43554159,-122.21167561,2141 Mills Avenue,Residential,2418.0,Compass,ML5099320,Caitlin,Darke,699 - Not Defined,San Mateo,Closed,2.0,SingleFamilyResidence,0.1154,Mlslistings,2021.0,2141.0,4.0,Menlo Park,4.0,2025-03-28,2025-03-28,CA,True,1.0,Unknown,5026.0,False,2.0,94025,5026.0
OrangeCounty,False,False,2025-03-28,1000000.0,33.735101,-118.019987,6232 Albion Drive,Residential,1630.0,eHomes,OCCHANVIV,Vivian,Chan,17 - Northwest Huntington Beach,Orange,Closed,2.0,SingleFamilyResidence,0.1377,OrangeCounty,1964.0,6232.0,2.0,Huntington Beach,4.0,2025-03-28,2025-03-10,CA,True,1.0,One,6000.0,False,2.0,92647,6000.0
NorthSanDiegoCounty,True,True,2025-03-27,1690000.0,33.098018,-117.212668,1752 Weatherwood Court,Residential,2879.0,"Compass California III, Inc. dba Compass",SAND-662477,Lindsay,Herrell,92078 - San Marcos,San Diego,Closed,3.0,SingleFamilyResidence,0.1666,SanDiego,2005.0,1752.0,3.0,San Marcos,4.0,2025-03-27,2025-02-13,CA,True,2.0,Two,7258.0,False,3.0,92078,7258.0
Mlslistings,False,False,2025-03-28,600000.0,37.11307266,-122.11433996,12085 Irwin Way,Residential,1372.0,Room Real Estate,ML5096763,Dylan,Linde,699 - Not Defined,Santa Cruz,Closed,0.0,SingleFamilyResidence,0.147,Mlslistings,1953.0,12085.0,2.0,Boulder Creek,2.0,2025-03-28,2025-03-28,CA,True,1.0,Unknown,6403.0,False,0.0,95006,6403.0
Mlslistings,False,False,2025-03-27,2500000.0,37.29291205,-121.88354577,911 Franquette Avenue,Residential,1128.0,Realty One Group Infinity,ML5080989,Efrain,Fernandez,699 - Not Defined,Santa Clara,Closed,0.0,SingleFamilyResidence,0.4861,Mlslistings,1928.0,911.0,2.0,San Jose,4.0,2025-03-27,2025-03-27,CA,False,1.0,Unknown,21175.0,False,0.0,95125,21175.0
Southland,False,True,2025-03-26,3000000.0,34.227963,-118.504618,17060 Parthenia Street,Residential,8082.0,Equity Union,SR165115385,Anahit,Karapetyan,SHFO - Sherwood Forest,Los Angeles,Closed,2.0,SingleFamilyResidence,0.757,Southland,2013.0,17060.0,7.0,Sherwood Forest,5.0,2025-03-26,2024-12-10,CA,True,1.0,One,32975.0,False,2.0,91325,32975.0
BeverlyHillsGreaterLa,False,False,2025-03-27,7000000.0,34.030778999999995,-118.497739,728 12th Street,Residential,4945.0,Compass,CLW-X18044,Dan,Urbach,C14 - Santa Monica,Los Angeles,Closed,2.0,SingleFamilyResidence,0.1724,BeverlyHillsGreaterLa,1924.0,728.0,6.0,Santa Monica,5.0,2025-03-27,2025-03-27,CA,True,1.0,MultiSplit,7508.0,False,2.0,90402,7508.0
OrangeCounty,True,True,2025-03-26,1565000.0,33.586405,-117.691199,25122 Natama,Residential,3359.0,Real Broker,SCOLEGAB,Gabe,Cole,S2 - Laguna Hills,Orange,Closed,3.0,SingleFamilyResidence,0.1377,OrangeCounty,1978.0,25122.0,3.0,Laguna Hills,4.0,2025-03-26,2025-03-02,CA,True,2.0,Two,6000.0,False,3.0,92653,6000.0
Oakland,False,False,2025-03-27,435000.0,38.33861837,-121.9882379,1213 Whitehall Way,Residential,816.0,Rapisarda Real Estate,BMLS-BAR981389409,Kinna,Clark,Unknown,Solano,Closed,1.0,SingleFamilyResidence,0.13,Unknown,1975.0,1213.0,1.0,Vacaville,2.0,2025-03-27,2025-03-27,CA,False,1.0,One,5662.0,False,1.0,95687,5662.0
Mlslistings,False,False,2025-03-21,1725000.0,37.09936234,-121.65047312,1100 Appian Way,Residential,3006.0,"eXp Realty of Northern California, Inc.",ML5092572,Gerold,Rodriguez,699 - Not Defined,Santa Clara,Closed,3.0,SingleFamilyResidence,0.3616,Mlslistings,1988.0,1100.0,3.0,Morgan Hill,4.0,2025-03-21,2025-03-27,CA,True,1.0,Unknown,15750.0,False,3.0,95037,15750.0
OrangeCounty,False,False,2025-03-27,850000.0,33.766959,-117.96857,13411 Mickey St,Residential,1007.0,Keller Williams Realty,OCLIAUDAN,Danielle,Liau,"65 - N of Blsa, S of GGrv, E of Bch, W of Brookhrs",Orange,Closed,2.0,SingleFamilyResidence,0.1791,OrangeCounty,1955.0,13411.0,1.0,Garden Grove,3.0,2025-03-27,2025-03-27,CA,False,1.0,One,7800.0,False,2.0,92844,7800.0
Mlslistings,False,False,2025-03-21,1275000.0,37.43602379,-121.91681722,531 Easter Avenue,Residential,1253.0,Compass,ML5090725,Marlo,Jones,699 - Not Defined,Santa Clara,Closed,2.0,SingleFamilyResidence,0.1377,Mlslistings,1960.0,531.0,2.0,Milpitas,3.0,2025-03-21,2025-03-27,CA,True,1.0,Unknown,6000.0,False,2.0,95035,6000.0
Newport,True,False,2025-03-27,1350000.0,33.475586,-117.695504,33552 Spin Drift Court,Residential,1819.0,Coldwell Banker Realty,LGMINEMAH,Mahlia,Rittenhouse,DH - Dana Hills,Orange,Closed,2.0,SingleFamilyResidence,0.0781,Laguna,1990.0,33552.0,3.0,Dana Point,2.0,2025-03-27,2025-03-27,CA,True,2.0,Two,3400.0,False,2.0,92629,3400.0
Mlslistings,True,False,2025-03-27,9000000.0,37.43945702,-122.1827987,1265 Bay Laurel Drive,Residential,5044.0,Compass,ML5086787,Josh,Rubin,699 - Not Defined,San Mateo,Closed,3.0,SingleFamilyResidence,0.5076,Mlslistings,2025.0,1265.0,6.0,Menlo Park,5.0,2025-03-27,2025-03-27,CA,True,1.0,Unknown,22109.0,False,3.0,94025,22109.0
CaliforniaDesert,True,True,2025-03-27,1300000.0,33.637006,-116.265093,56655 Jack Nicklaus Boulevard,Residential,2450.0,Berkshire Hathaway HomeServices California Properties,CDAR-D80237,Anne,Stark,313 - La Quinta South of HWY 111,Riverside,Closed,3.0,SingleFamilyResidence,0.25,CaliforniaDesert,1997.0,56655.0,3.0,La Quinta,3.0,2025-03-27,2025-03-27,CA,True,1.0,Unknown,10890.0,False,3.0,92253,10890.0
BeverlyHillsGreaterLa,True,False,2025-03-26,1200000.0,34.099154,-118.211741,439 W Avenue 44,Residential,1514.0,Coldwell Banker Realty,CLW-X51615,Cathy,Greenly,680 - Mount Washington,Los Angeles,Closed,2.0,SingleFamilyResidence,0.068,BeverlyHillsGreaterLa,1925.0,439.0,1.0,Los Angeles,2.0,2025-03-26,2025-03-26,CA,False,1.0,One,2964.0,False,2.0,90065,2964.0
OrangeCounty,True,False,2025-03-26,1060000.0,33.895027,-117.818076,18082 Debi Lane,Residential,1500.0,Compass,OCSINGVIN,Vinisha,Singh,85 - Yorba Linda,Orange,Closed,2.0,SingleFamilyResidence,0.2222,OrangeCounty,1973.0,18082.0,2.0,Yorba Linda,4.0,2025-03-26,2025-02-14,CA,True,1.0,One,9680.0,False,2.0,92886,9680.0
ContraCosta,True,False,2025-03-26,4037500.0,37.804749,-121.88260136,4420 Deer Ridge Rd,Residential,5112.0,Compass,CCBE-159509930,Joujou,Chawla,Unknown,Contra Costa,Closed,4.0,SingleFamilyResidence,0.3925,ContraCosta,1990.0,4420.0,6.0,Danville,5.0,2025-03-26,2025-03-26,CA,True,2.0,Two,17097.0,False,4.0,94506,17097.0
Southland,True,False,2025-03-28,650000.0,34.235755,-118.456318,14831 Nordhoff Street,Residential,1296.0,NextHome Real Estate Rockstars,F207096352,Shane,Cabrera,PC - Panorama City,Los Angeles,Closed,0.0,SingleFamilyResidence,0.166,Southland,1955.0,14831.0,2.0,Panorama City,3.0,2025-03-28,2025-03-26,CA,False,1.0,One,7231.0,False,0.0,91402,7231.0
Oakland,False,False,2025-03-26,1700000.0,37.88413661,-122.27244524,1232 Milvia Street,Residential,1204.0,District Homes,BMLS-R01990459,Sarah,Ridge,Unknown,Alameda,Closed,1.0,SingleFamilyResidence,0.2344,Oakland,1946.0,1232.0,1.0,Berkeley,2.0,2025-03-26,2025-03-26,CA,True,2.0,Two,10212.0,False,1.0,94709,10212.0
Newport,True,False,2025-03-26,6400000.0,33.593868,-117.871607,214 Marigold Avenue,Residential,1680.0,Christie's International R.E. Southern California,u40320,Casey,Lesher,CS - Corona Del Mar - Spyglass,Orange,Closed,2.0,SingleFamilyResidence,0.1219,Newport,1952.0,214.0,2.0,Corona Del Mar,3.0,2025-03-26,2025-03-26,CA,True,1.0,One,5310.0,False,2.0,92625,5310.0
Mlslistings,True,False,2025-03-18,1200000.0,36.65394421,-121.73776117,14518 Lee Avenue,Residential,2817.0,Keller Williams Realty,ML5101201,Unknown,The Ruiz Group,699 - Not Defined,Monterey,Closed,2.0,SingleFamilyResidence,0.1263,Mlslistings,2017.0,14518.0,3.0,Marina,4.0,2025-03-18,2025-03-26,CA,True,1.0,Unknown,5500.0,False,2.0,93933,5500.0
SouthBay,False,False,2025-03-24,2080000.0,34.004151,-118.425812,3937 Marcasel Ave.,Residential,1666.0,Compass,CLW-C130054,David,Dippong,C13 - Palms - Mar Vista,Los Angeles,Closed,1.0,SingleFamilyResidence,0.2661,OutOfAreaBoard,1927.0,3937.0,2.0,Los Angeles,3.0,2025-03-24,2025-03-04,CA,True,1.0,One,11593.0,False,1.0,90066,11593.0
PismoCoast,False,False,2025-03-26,680000.0,34.94357,-120.430582,424 Chaparral Street,Residential,1656.0,"CA Real Estate Co., Inc.",pi01966451,Janely,Montano,SMSE - SM Southeast,Santa Barbara,Closed,2.0,SingleFamilyResidence,0.17,PismoCoast,1976.0,424.0,2.0,Santa Maria,4.0,2025-03-26,2025-03-01,CA,True,1.0,One,7405.0,False,2.0,93454,7405.0
SanDiego,True,False,2025-03-20,2200000.0,32.76946385,-117.10454849,4186 Rochester Road,Residential,2019.0,Keller Williams La Jolla,SAND-695659,Kristyna,Lukacova,92116 - Normal Heights,San Diego,Closed,5.0,SingleFamilyResidence,0.2516,SanDiego,1929.0,4186.0,3.0,San Diego,4.0,2025-03-20,2025-03-05,CA,True,1.0,One,10961.0,False,2.0,92116,10961.0
Newport,True,False,2025-03-26,1150000.0,33.767056,-118.14838,261 Grand Avenue,Residential,968.0,Coldwell Banker Realty,PWPBRANHEI,Heidi,Brantley,"2 - Belmont Heights, Alamitos Heights",Los Angeles,Closed,2.0,SingleFamilyResidence,0.0848,PacificWest,1919.0,261.0,1.0,Long Beach,2.0,2025-03-26,2025-03-15,CA,False,1.0,One,3696.0,False,0.0,90803,3696.0
NorthSanDiegoCounty,True,True,2025-03-05,3300000.0,33.077929,-117.198367,3899 Rancho Summit Drive,Residential,4120.0,Compass,SAND-651088,Willem,De Ridder,92024 - Encinitas,San Diego,Closed,8.0,SingleFamilyResidence,1.15,SanDiego,2019.0,3899.0,5.0,Encinitas,5.0,2025-03-05,2025-02-03,CA,True,1.0,One,50094.0,False,4.0,92024,50094.0
Newport,False,False,2025-03-21,1200000.0,33.597134000000004,-117.749129,35 Carmel Ct,Residential,1665.0,Re/Max First Class,STHOBMAR,Mark,Thoburn,LC - Laguna Canyon,Orange,Closed,2.0,SingleFamilyResidence,0.0643,OrangeCounty,1985.0,35.0,3.0,Laguna Beach,3.0,2025-03-21,2025-02-12,CA,True,2.0,Two,2800.0,False,2.0,92651,2800.0
Southland,True,True,2025-03-25,1250000.0,34.225235,-118.355718,8527 Vine Valley Drive,Residential,1750.0,NextHome Luxe Group,G165115644,Daniel,Azarian,SUNV - Sun Valley,Los Angeles,Closed,2.0,SingleFamilyResidence,0.3875,Glendale,1963.0,8527.0,2.0,Sun Valley,3.0,2025-03-25,2025-03-25,CA,False,1.0,One,16878.0,False,2.0,91352,16878.0
OrangeCounty,True,False,2025-03-25,1150000.0,34.059289,-118.159164,2200 Verde Vista Drive,Residential,1619.0,Act Realty Group,stomcla,Clayton,Tom,641 - Monterey Park,Los Angeles,Closed,2.0,SingleFamilyResidence,0.1518,OrangeCounty,1960.0,2200.0,2.0,Monterey Park,3.0,2025-03-25,2025-03-25,CA,True,1.0,One,6614.0,False,2.0,91754,6614.0
SanDiego,False,False,2025-03-25,9000000.0,32.68194477,-117.17725355,1500 Orange Ave 1101,Residential,2030.0,Del Coronado Realty,SAND-2204,Ruth Ann,Fisher,92118 - Coronado,San Diego,Closed,0.0,SingleFamilyResidence,0.1667,SanDiego,2007.0,1500.0,3.0,Coronado,3.0,2025-03-25,2025-03-25,CA,False,1.0,One,7132.0,False,0.0,92118,7260.0
Mlslistings,False,False,2025-03-25,2420000.0,37.37448543,-122.04599244,401 Novato Avenue,Residential,1144.0,Compass,ML5081310,Wen,Zhao,699 - Not Defined,Santa Clara,Closed,2.0,SingleFamilyResidence,0.1377,Mlslistings,1954.0,401.0,2.0,Sunnyvale,3.0,2025-03-25,2025-03-25,CA,True,1.0,Unknown,6000.0,False,2.0,94086,6000.0
SouthBay,False,False,2025-03-26,1100000.0,33.824404,-118.36911200000002,5209 Milne Drive,Residential,1304.0,3 Leaf Realty Inc,SROSSROB,Robert,Ross,129 - South Torrance,Los Angeles,Closed,2.0,SingleFamilyResidence,0.1194,SouthBay,1952.0,5209.0,2.0,Torrance,3.0,2025-03-26,2025-03-25,CA,True,1.0,One,5200.0,False,2.0,90505,5200.0
BeverlyHillsGreaterLa,False,False,2025-03-25,1875000.0,33.989113,-118.429649,12817 Gilmore Avenue,Residential,1152.0,"Douglas Elliman of California, Inc.",CLW-C128354,Robert,Puro,C12 - Marina Del Rey,Los Angeles,Closed,2.0,SingleFamilyResidence,0.1052,BeverlyHillsGreaterLa,1947.0,12817.0,2.0,Los Angeles,3.0,2025-03-25,2025-03-25,CA,False,1.0,One,4581.0,False,2.0,90066,4581.0
Mlslistings,False,False,2025-03-25,2685000.0,37.74854725,-122.43353625,1621 Castro Street,Residential,1913.0,Unknown,ML1419702,Richard,Sarro,Unknown,San Francisco,Closed,1.0,SingleFamilyResidence,0.0459,Unknown,1890.0,1621.0,4.0,San Francisco,4.0,2025-03-25,2025-03-25,CA,True,1.0,Unknown,1999.0,False,1.0,94114,1999.0
JoshuaTreeGateway,True,False,2025-03-24,215000.0,34.151339,-116.089866,5602 Morongo Road,Residential,957.0,Joshua Tree Realty,DC50473,TONY,CIPOLLA,DC724 - Chocolate Drop,San Bernardino,Closed,2.0,SingleFamilyResidence,0.197,JoshuaTreeGateway,1981.0,5602.0,1.0,29 Palms,2.0,2025-03-24,2025-02-28,CA,False,1.0,One,8580.0,False,2.0,92277,8580.0
PacificSouthwest,True,True,2025-03-25,1300000.0,32.806141,-116.84547,1420 HARBISON CANYON Road,Residential,1800.0,Realty One Group Pacific,817298,Bob,Sparks,699 - Not Defined,San Diego,Closed,16.0,SingleFamilyResidence,2.0,PacificSouthwest,1978.0,1420.0,2.0,Unincorporated,3.0,2025-03-25,2025-02-09,CA,True,1.0,One,2.0,False,6.0,92019,87120.0
PacificWest,True,False,2025-03-25,799000.0,34.167761,-117.433863,17008 Rudeen Lane,Residential,3707.0,Park Regency Realty,CV43944,Anthony,Johnson,264 - Fontana,San Bernardino,Closed,2.0,SingleFamilyResidence,0.1237,CitrusValley,2017.0,17008.0,4.0,Fontana,4.0,2025-03-25,2025-03-25,CA,False,2.0,Two,5390.0,False,2.0,92336,5390.0
