MLSAreaMajor,Stories,ViewYN,NewConstructionYN,Levels,PoolPrivateYN,BuyerOfficeAOR,GarageSpaces,LotSizeAcres,LotSizeSquareFeet,LotSizeArea,BuyerOfficeName,BuyerAgentFirstName,BuyerAgentMlsId,StreetNumberNumeric,UnparsedAddress,City,YearBuilt,FireplaceYN,BuyerAgentLastName,LivingArea,Latitude,Longitude,BuyerAgentAOR,BathroomsTotalInteger,ClosePrice,CloseDate,PropertyType,MlsStatus,ParkingTotal,PropertySubType,CountyOrParish,BedroomsTotal,StateOrProvince,PurchaseContractDate,ContractStatusChangeDate,PostalCode
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.2029,8840.0,8840.0,Intero Real Estate Services,Mindy,ML488753,2851.0,2851 Pruneridge,Santa Clara,1960.0,False,Masli,1444.0,37.33023269,-121.97626015,Mlslistings,2.0,1938000.0,2025-08-29,Residential,Closed,2.0,SingleFamilyResidence,Santa Clara,3.0,CA,2025-08-29,2025-08-29,95051
VG - Valley Glen,1.0,False,False,One,False,OutOfAreaBoard,2.0,0.1532,6674.0,6674.0,Equity Union,Natalie,CLW-C109586,12806.0,12806 Tiara Street,Valley Village,1953.0,False,Kraiem,1470.0,34.178215,-118.412085,OutOfAreaBoard,2.0,1000000.0,2025-08-29,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-08-29,2025-08-29,91607
"68 - N of Heil, S of Blsa, E of Brookhrst, W of Ha",1.0,False,False,One,False,OrangeCounty,2.0,0.168,7320.0,7320.0,Keller Williams Realty,Lauren,Ocblalaur,11819.0,11819 Dogwood Avenue,Fountain Valley,1967.0,False,Blake,1386.0,33.72347,-117.922945,OrangeCounty,2.0,1120000.0,2025-08-06,Residential,Closed,2.0,SingleFamilyResidence,Orange,4.0,CA,2025-07-13,2025-08-06,92708
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.1607,7000.0,7000.0,Modern Homes Realty,Greg,ML5102667,2020.0,2020 Channing Avenue,Palo Alto,1956.0,False,Goumas,1153.0,37.44815967,-122.12693354,Mlslistings,2.0,2400000.0,2025-08-29,Residential,Closed,2.0,SingleFamilyResidence,Santa Clara,3.0,CA,2025-08-29,2025-08-29,94303
"58 - Westminster North of Rancho, S of 405",1.0,False,False,One,False,PacificSouthwest,0.0,0.1118,4868.0,4868.0,Fathom Realty Group,Zachary,812687,5821.0,5821 Gloucester Circle,Westminster,1971.0,False,Svelling,1556.0,33.756498,-118.02733899999998,OrangeCounty,2.0,1025000.0,2025-08-29,Residential,Closed,0.0,SingleFamilyResidence,Orange,3.0,CA,2025-08-28,2025-08-29,92683
C15 - Pacific Palisades,1.0,False,False,"ThreeOrMore,MultiSplit",False,BeverlyHillsGreaterLa,2.0,0.3955,17227.0,17227.0,Carolwood Estates,Amir Zac,CLW-C134114,1124.0,1124 Napoli Drive,Pacific Palisades,2008.0,False,Mostame,10568.0,34.048109000000004,-118.503818,BeverlyHillsGreaterLa,6.0,25750000.0,2025-08-29,Residential,Closed,0.0,SingleFamilyResidence,Los Angeles,5.0,CA,2025-08-29,2025-08-29,90272
91950 - National City,1.0,False,False,One,False,SanDiego,2.0,0.07,3049.2,0.07,Acropolis Enterprise Inc.,Jamal,SAND-664975,112.0,112 Highland Avenue,National City,1936.0,False,Johnson,1006.0,32.683884,-117.10121,PacificSouthwest,1.0,930000.0,2025-08-20,Residential,Closed,2.0,SingleFamilyResidence,San Diego,2.0,CA,2025-07-26,2025-08-20,91950
ENC - Encino,1.0,False,False,One,False,OutOfAreaBoard,2.0,0.1851,8062.0,8062.0,The Agency,Adi,CLW-C121614,4747.0,4747 Firmament Avenue,Encino,1951.0,False,Perez,1515.0,34.15743,-118.472986,BeverlyHillsGreaterLa,3.0,1450000.0,2025-08-29,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-08-29,2025-08-29,91436
646 - Pasadena (NE),1.0,False,False,One,False,PasadenaFoothills,1.0,0.2479,10800.0,10800.0,Coldwell Banker Realty,Sharon,p21947,1289.0,1289 N catalina Avenue,Pasadena,1911.0,False,Rae,1280.0,34.168182,-118.129995,PasadenaFoothills,2.0,1360000.0,2025-08-29,Residential,Closed,1.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-08-29,2025-08-29,91104
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,1.0,0.1377,6000.0,6000.0,Coldwell Banker Realty,Omar,ML5076727,2837.0,2837 Burdick Way,San Jose,1968.0,False,Ruano,1451.0,37.32372763,-121.80006924,Mlslistings,2.0,1000000.0,2025-08-27,Residential,Closed,1.0,SingleFamilyResidence,Santa Clara,4.0,CA,2025-08-27,2025-08-27,95148
268 - Redlands,1.0,False,False,One,False,TheInlandGateway,2.0,0.1225,5338.0,5338.0,BHHS PERRIE MUNDY REALTY GROUP,MICHELLE,EHARDMIC,758.0,758 Strada Casalingo Court,Redlands,2007.0,False,HARDESTY,2889.0,34.024284,-117.135291,TheInlandGateway,4.0,1425000.0,2025-08-29,Residential,Closed,4.0,SingleFamilyResidence,San Bernardino,3.0,CA,2025-08-29,2025-08-29,92373
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,1.0,0.1639999999999999,7144.0,7144.0,Schooner Realty,Celeste Faraola,ML102306,170.0,170 Marine Parade,Santa Cruz,1930.0,False,Perie,546.0,36.96716711,-122.00472617,Mlslistings,1.0,3333333.0,2025-08-25,Residential,Closed,3.0,SingleFamilyResidence,Santa Cruz,1.0,CA,2025-08-25,2025-08-25,95062
92154 - Otay Mesa,1.0,False,False,One,False,NorthSanDiegoCounty,2.0,0.1354,5900.0,5900.0,Engel & Volkers Dana Point,Bryan,108700,4250.0,4250 Lemonseed Drive,San Diego,1971.0,False,Garrity,1735.0,32.584421,-117.041917,NorthSanDiegoCounty,2.0,510000.0,2025-08-29,Residential,Closed,2.0,SingleFamilyResidence,San Diego,4.0,CA,2025-07-31,2025-08-29,92154
222 - Idyllwild,2.0,False,False,Two,False,PalmSprings,0.0,0.2,8712.0,8712.0,Equity Union,Richie,PS51734,25177.0,25177 Norwood Drive,Idyllwild,2020.0,False,Usher,1737.0,33.754977000000004,-116.753901,CaliforniaDesert,3.0,600000.0,2025-08-29,Residential,Closed,2.0,SingleFamilyResidence,Riverside,2.0,CA,2025-08-29,2025-08-29,92549
C1 - Mesa Verde,2.0,False,False,Two,False,OrangeCounty,2.0,0.2984,13000.0,13000.0,The L3,Matthew,SKANOMAT,1870.0,1870 Wren Circle,Costa Mesa,1965.0,False,Kanoudi,2956.0,33.669857,-117.935489,OrangeCounty,3.0,2020000.0,2025-08-28,Residential,Closed,2.0,SingleFamilyResidence,Orange,7.0,CA,2025-08-28,2025-08-28,92626
Unknown,2.0,False,False,Two,False,ContraCosta,3.0,0.2169,9450.0,9450.0,Compass,Julie,CCBE-159509088,587.0,587 Morninghome Rd,Danville,1968.0,False,Whitmer,2377.0,37.81513224,-121.98133648,ContraCosta,3.0,1610000.0,2025-08-28,Residential,Closed,3.0,SingleFamilyResidence,Contra Costa,4.0,CA,2025-08-28,2025-08-28,94526
658 - So. Pasadena,1.0,False,False,One,False,PasadenaFoothills,2.0,0.1388,6044.0,6044.0,COMPASS,Michele,p3779,514.0,514 Fremont Avenue,South Pasadena,1933.0,False,Downing,1737.0,34.120318,-118.15313,PasadenaFoothills,2.0,1800000.0,2025-08-28,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-08-28,2025-08-28,91030
C13 - Palms - Mar Vista,1.0,False,False,One,False,OutOfAreaBoard,2.0,0.1328,5786.0,5786.0,Equity Union,Andrew,CLW-C144011,12713.0,12713 Westminster Avenue,Los Angeles,1950.0,False,Teshinsky,1241.0,34.006851,-118.442294,Southland,1.0,1800000.0,2025-08-28,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-08-28,2025-08-28,90066
C5 - East Costa Mesa,1.0,False,False,One,False,Newport,4.0,0.1689,7357.0,7357.0,Surterre Properties Inc.,Jennifer,U19041,452.0,452 Broadway,Costa Mesa,1948.0,False,Shaw,2202.0,33.633916,-117.906001,Newport,2.0,3369000.0,2025-08-27,Residential,Closed,6.0,SingleFamilyResidence,Orange,3.0,CA,2025-08-13,2025-08-27,92627
699 - Not Defined,2.0,False,False,Two,False,Southland,2.0,0.2587,11271.0,11271.0,Equity Union,Hasmik,F207015050,1944.0,1944 Montecito Drive,Glendale,1924.0,False,Kadimyan,3849.0,34.193412,-118.224678,Southland,4.0,1950000.0,2025-08-28,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,4.0,CA,2025-08-28,2025-08-28,91208
C13 - Palms - Mar Vista,2.0,False,False,Two,False,BeverlyHillsGreaterLa,2.0,0.2634,11472.0,11472.0,Compass,Michael,CLW-C143455,3904.0,3904 East Boulevard,Los Angeles,1924.0,False,Abraham,2033.0,34.006269,-118.423947,OutOfAreaBoard,1.0,2325000.0,2025-08-28,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,4.0,CA,2025-08-28,2025-08-28,90066
92123 - San Diego,1.0,False,False,One,False,SanDiego,2.0,0.1676,7298.0,7153.5,"eXp Realty of Southern California, Inc.",Sean,SAND-684965,8848.0,8848 Hammond Dr,San Diego,1960.0,False,Seal,1320.0,32.80472757,-117.13865563,SanDiego,2.0,1035000.0,2025-08-08,Residential,Closed,4.0,SingleFamilyResidence,San Diego,3.0,CA,2025-08-08,2025-08-08,92123
VG - Valley Glen,2.0,False,False,Two,False,OutOfAreaBoard,2.0,0.1842,8022.0,8022.0,Real Broker,Kendra,CLW-C140629,12244.0,12244 Emelita Street,Valley Village,2019.0,False,Fuchs,3739.0,34.175992,-118.400457,OutOfAreaBoard,5.0,2555555.0,2025-08-28,Residential,Closed,0.0,SingleFamilyResidence,Los Angeles,5.0,CA,2025-08-28,2025-08-28,91607
670 - Whittier,1.0,False,False,One,False,PacificWest,2.0,0.1339,5831.0,5831.0,IET Real Estate,Marcela,pwpalomar,13945.0,13945 Flomar Drive,Whittier,1950.0,False,Palos,1084.0,33.953862,-118.028794,PacificWest,2.0,870000.0,2025-08-28,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-08-09,2025-08-28,90605
332 - Central Palm Springs,1.0,False,False,MultiSplit,False,PalmSprings,2.0,0.48,20909.0,20909.0,Compass,TTK,CLW-45050,1350.0,1350 Ladera Circle,Palm Springs,1960.0,False,Represents,4695.0,33.841027000000004,-116.557402,PalmSprings,5.0,7300000.0,2025-08-29,Residential,Closed,0.0,SingleFamilyResidence,Riverside,4.0,CA,2025-08-28,2025-08-29,92262
259 - Moreno Valley,1.0,False,False,One,False,OrangeCounty,2.0,0.16,6970.0,6970.0,New Western Acquisitions,Albert,OCHARMALB,24256.0,24256 Dolan Drive,Moreno Valley,1971.0,False,Harmon,1342.0,33.924261,-117.239281,TriCounties,2.0,399999.0,2025-08-29,Residential,Closed,2.0,SingleFamilyResidence,Riverside,4.0,CA,2025-07-29,2025-08-29,92553
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,1.0,0.1302,5670.0,5670.0,Compass,Monica,ML5072758,2126.0,2126 Jardin Drive,Mountain View,1952.0,False,Thomas,974.0,37.38884024,-122.10441976,Mlslistings,1.0,2547600.0,2025-08-26,Residential,Closed,1.0,SingleFamilyResidence,Santa Clara,3.0,CA,2025-08-26,2025-08-26,94040
92037 - La Jolla,1.0,False,False,ThreeOrMore,False,SanDiego,1.0,0.1676,7298.0,7153.5,The Relocation Agency,Sandra,SAND-682803,746.0,746 Bonair St,La Jolla,2023.0,False,Shebani,2901.0,32.83152251,-117.27282379999998,SanDiego,4.0,3350000.0,2025-08-27,Residential,Closed,3.0,SingleFamilyResidence,San Diego,3.0,CA,2025-08-27,2025-08-27,92037
DH - Dana Hills,2.0,False,False,Two,False,OrangeCounty,2.0,0.1148,5000.0,5000.0,Realty One Group West,Ryan,ocdailrya,25102.0,25102 Danabirch,Dana Point,1986.0,False,Dailey,1913.0,33.485549,-117.691924,OrangeCounty,3.0,1725000.0,2025-08-26,Residential,Closed,2.0,SingleFamilyResidence,Orange,4.0,CA,2025-08-26,2025-08-26,92629
SH - Shady Canyon,1.0,False,False,ThreeOrMore,False,Newport,3.0,0.5579999999999999,24306.0,24306.0,Coldwell Banker Realty,Jacqueline,u40397,35.0,35 Boulder View,Irvine,2007.0,False,Thompson,8302.0,33.633925,-117.787596,Newport,7.0,12000000.0,2025-08-27,Residential,Closed,3.0,SingleFamilyResidence,Orange,5.0,CA,2025-08-27,2025-08-27,92603
92109 - Pacific Beach,1.0,False,False,ThreeOrMore,False,SanDiego,2.0,0.2627,11442.0,11442.0,Century 21 Affiliated,Ken,SAND-654675,5144.0,5144 Gordon Lane,San Diego,2023.0,False,Schwartz,3690.0,32.81112008,-117.24521422,SanDiego,5.0,5154000.0,2025-08-04,Residential,Closed,4.0,SingleFamilyResidence,San Diego,4.0,CA,2025-07-31,2025-08-04,92109
250 - Norco,2.0,False,False,Two,False,InlandValleys,2.0,0.69,30056.0,30056.0,KELLER WILLIAMS RIVERSIDE CENT,JULIANNE,IFARMJUL,3371.0,3371 Cutting Horse Road,Norco,2005.0,False,FARMER,3022.0,33.930679999999995,-117.524025,InlandValleys,3.0,1200000.0,2025-08-20,Residential,Closed,2.0,SingleFamilyResidence,Riverside,4.0,CA,2025-08-20,2025-08-20,92860
313 - La Quinta South of HWY 111,1.0,False,False,Unknown,False,CaliforniaDesert,3.0,0.23,10018.0,10018.0,Coldwell Banker Realty,Jennica,CDAR-D74121,54198.0,54198 Shoal Creek Creek,La Quinta,2005.0,False,Schein,3082.0,33.654855,-116.273511,CaliforniaDesert,4.0,1330000.0,2025-08-27,Residential,Closed,3.0,SingleFamilyResidence,Riverside,4.0,CA,2025-08-27,2025-08-27,92253
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.1004,4373.0,4373.0,Compass,Colleen,ML5079964,363.0,363 Channing Avenue,Palo Alto,2004.0,False,Foraker,2441.0,37.44380361,-122.15628961,Mlslistings,4.0,4500000.0,2025-08-27,Residential,Closed,2.0,SingleFamilyResidence,Santa Clara,3.0,CA,2025-08-27,2025-08-27,94301
646 - Pasadena (NE),1.0,False,False,One,False,BeverlyHillsGreaterLa,2.0,0.1973,8595.0,8595.0,Nourmand & Associates-HW,Gina,CLW-X64156,2715.0,2715 Woodlyn Road,Pasadena,1950.0,False,Isaac,1064.0,34.167043,-118.094227,Arcadia,1.0,1025000.0,2025-08-27,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,2.0,CA,2025-08-22,2025-08-27,91107
614 - Covina,1.0,False,False,One,False,OrangeCounty,2.0,0.5175,22544.0,22544.0,Prophet 5 Inc,Gunner,OCACEVGUN,3460.0,3460 Rancho Rio Bonita Road,Covina,1961.0,False,Aceves,3043.0,34.078851,-117.857127,CitrusValley,3.0,975000.0,2025-08-25,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-08-24,2025-08-25,91724
92024 - Encinitas,1.0,False,False,One,False,InlandValleys,2.0,0.24,10454.4,0.24,OUT OF AREA,OUT OF,IRECP,1376.0,1376 S Coast Hwy 101,Encinitas,1986.0,False,AREA,2729.0,33.034172,-117.291294,NorthSanDiegoCounty,4.0,12500000.0,2025-08-22,Residential,Closed,6.0,SingleFamilyResidence,San Diego,4.0,CA,2025-08-22,2025-08-22,92024
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.1801,7843.0,7843.0,Compass,Unknown,ML5102530,449.0,449 Grand Street,Redwood City,1932.0,False,The reSolve Group,2390.0,37.47983411,-122.23718104,Mlslistings,3.0,3000000.0,2025-08-26,Residential,Closed,2.0,SingleFamilyResidence,San Mateo,4.0,CA,2025-08-26,2025-08-26,94062
92056 - Oceanside,2.0,False,False,Two,False,PacificSouthwest,3.0,0.22,9583.2,0.22,USA Realty and Loans,Hunter,PT818341,1303.0,1303 Darwin Drive,Oceanside,1991.0,False,Henrich,2501.0,33.228167,-117.265297,NorthSanDiegoCounty,3.0,935000.0,2025-08-25,Residential,Closed,3.0,SingleFamilyResidence,San Diego,4.0,CA,2025-08-24,2025-08-25,92056
RIEN - Rienda,2.0,False,False,Two,False,OrangeCounty,2.0,0.0685,2984.0,2984.0,Coldwell Banker Res. Brokerage,Paula,OCPELTPAU,631.0,631 Jasper,Rancho Mission Viejo,2024.0,False,Pelton,2150.0,33.526277,-117.579642,OrangeCounty,3.0,1475000.0,2025-08-25,Residential,Closed,2.0,SingleFamilyResidence,Orange,4.0,CA,2025-08-25,2025-08-25,92694
137 - North Carson,1.0,False,False,One,False,SouthBay,0.0,0.1104,4811.0,4811.0,Keller Williams Realty,Elisabeth,scejaeli,302.0,302 E 186th Street,Carson,1953.0,False,Ceja,986.0,33.861515999999995,-118.270976,SouthBay,1.0,680000.0,2025-08-14,Residential,Closed,0.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-06-13,2025-08-14,90746
SC - San Clemente Central,1.0,False,False,One,False,OrangeCounty,2.0,0.1612,7020.0,7020.0,Coldwell Banker Realty,Sonja,OCRUECSON,205.0,205 Calle de Anza,San Clemente,1962.0,False,Rueckner,1672.0,33.431421,-117.60676,OrangeCounty,2.0,2200000.0,2025-08-25,Residential,Closed,2.0,SingleFamilyResidence,Orange,3.0,CA,2025-07-23,2025-08-25,92672
VC28 - Wells Rd. East to City Limit,1.0,False,False,One,False,VenturaCoastal,2.0,0.15,6534.0,0.15,The Holmes Company,Erica,v211510483,8248.0,8248 Medford Street,Ventura,2007.0,False,Holmes,2448.0,34.271583,-119.182443,VenturaCoastal,3.0,1150000.0,2025-08-25,Residential,Closed,2.0,SingleFamilyResidence,Ventura,4.0,CA,2025-08-25,2025-08-25,93004
248 - Corona,2.0,False,False,Two,False,PacificWest,2.0,0.25,10890.0,10890.0,First Team Real Estate,Clayton,pkilbcla,778.0,778 La Cumbre Street,Corona,1988.0,False,Kilbarger,1557.0,33.899441,-117.511924,PacificWest,3.0,685000.0,2025-08-25,Residential,Closed,2.0,SingleFamilyResidence,Riverside,3.0,CA,2025-08-25,2025-08-25,92879
7 - North Long Beach,1.0,False,False,One,False,OrangeCounty,0.0,0.0988,4305.0,4305.0,New Western Acquisitions,Hakeem,OCNICHHAK,5493.0,5493 Cerritos Avenue,Long Beach,1924.0,False,Nicholson,1033.0,33.856027000000005,-118.178444,OrangeCounty,1.0,560000.0,2025-08-25,Residential,Closed,3.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-08-25,2025-08-25,90805
92102 - San Diego,1.0,False,False,One,False,SanDiego,0.0,0.1676,7298.0,7153.5,"LPT Realty,Inc",Jessica,SAND-706230,1862.0,1862 50th St,San Diego,1956.0,False,Codallos Zarate,1629.0,32.72516958,-117.08729372,SanDiego,3.0,818000.0,2025-08-25,Residential,Closed,4.0,SingleFamilyResidence,San Diego,4.0,CA,2025-08-25,2025-08-25,92102
334 - South End Palm Springs,1.0,False,False,One,False,PalmSprings,1.0,0.25,10890.0,10890.0,Equity Union,Brian/Kerri,CLW-52511,2225.0,2225 Marguerite Street,Palm Springs,1960.0,False,Sullivan Real Est...,1344.0,33.797919,-116.476293,PalmSprings,2.0,535000.0,2025-08-22,Residential,Closed,3.0,SingleFamilyResidence,Riverside,4.0,CA,2025-08-21,2025-08-22,92264
699 - Not Defined,1.0,False,False,Unknown,False,Unknown,2.0,0.1317,5736.0,5736.0,Unknown,Karen,ML1605975,521.0,521 Madison Avenue,San Bruno,1958.0,False,Mai,1450.0,37.61802305,-122.43170862,Mlslistings,2.0,1600000.0,2025-08-23,Residential,Closed,2.0,SingleFamilyResidence,San Mateo,4.0,CA,2025-08-23,2025-08-23,94066
92027 - Escondido,1.0,False,False,One,False,Unknown,2.0,0.1676,7298.0,7153.5,OUT OF AREA - NON MEMBER,OUT OF AREA,SAND-BMLS-361851087,1210.0,1210 Kent Ave,Escondido,1971.0,False,OUT,1698.0,33.14209102,-117.07486395,SanDiego,2.0,599000.0,2025-08-29,Residential,Closed,4.0,SingleFamilyResidence,San Diego,4.0,CA,2025-08-23,2025-08-29,92027
PMCL - Pine Mountain Club,2.0,False,False,Two,False,Southland,0.0,0.2337,10179.0,10179.0,eXp Realty of California Inc,Karen,SR154542499,1421.0,1421 Linden Drive,Pine Mountain Club,1973.0,False,Barrios,992.0,34.838687,-119.144087,Southland,1.0,350000.0,2025-08-28,Residential,Closed,0.0,SingleFamilyResidence,Kern,2.0,CA,2025-07-28,2025-08-28,93222
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.2066,9000.0,9000.0,Intero Real Estate Services,Ravi,ML5076755,422.0,422 Liquidambar Way,Sunnyvale,1970.0,False,Jagtiani,2017.0,37.36983745,-122.01407378,Mlslistings,3.0,1900000.0,2025-08-22,Residential,Closed,2.0,SingleFamilyResidence,Santa Clara,4.0,CA,2025-08-22,2025-08-22,94086
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.2606,11351.0,11351.0,Christie's International Real Estate Sereno,Phil,ML5091615,505.0,505 Hurlingham Avenue,San Mateo,1924.0,False,Chen,2930.0,37.56980495,-122.34000616,Mlslistings,4.0,3900001.0,2025-08-22,Residential,Closed,2.0,SingleFamilyResidence,San Mateo,2.0,CA,2025-08-22,2025-08-22,94402
276 - Highland,1.0,False,False,One,False,TheInlandGateway,2.0,0.2615,11392.0,11392.0,Better Homes & Gardens R.E. Oak Valley,HEIDI,ybonhhei,7048.0,7048 Catalpa Avenue,Highland,1970.0,False,BONHAM,1404.0,34.12592,-117.197334,TheInlandGateway,2.0,539000.0,2025-08-22,Residential,Closed,2.0,SingleFamilyResidence,San Bernardino,4.0,CA,2025-07-18,2025-08-22,92346
TOP - Topanga,1.0,False,False,One,False,SouthBay,2.0,0.3117,13578.0,13578.0,Compass,Alex,SWOLFALE,20575.0,20575 Cheney Drive,Topanga,2011.0,False,Wolf,1873.0,34.116295,-118.583047,BeverlyHillsGreaterLa,3.0,1575000.0,2025-08-22,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-08-13,2025-08-22,90290
HHIL - Hidden Hills,2.0,False,False,Two,False,BeverlyHillsGreaterLa,3.0,3.57,155509.0,155509.0,Compass,Olga,CLW-C125119,5209.0,5209 Saddle Creek Road,Hidden Hills,1978.0,False,Crawford,7560.0,34.15975,-118.649142,Southland,7.0,11900000.0,2025-08-21,Residential,Closed,3.0,SingleFamilyResidence,Los Angeles,6.0,CA,2025-07-04,2025-08-21,91302
VC23 - Ventura Beach S. of Ventura River to S.C.,2.0,False,False,Two,False,ContraCosta,2.0,0.11,4791.0,4791.0,NonMember/Member-Other Board,NonAgent Represented,CCBE-CCNMBR,2935.0,2935 Seaview Avenue,Ventura,1989.0,False,Buyer,2732.0,34.257585,-119.262411,VenturaCoastal,3.0,2490000.0,2025-08-22,Residential,Closed,2.0,SingleFamilyResidence,Ventura,4.0,CA,2025-08-22,2025-08-22,93001
